Date,aex,cac,dax,ftse
03-Jan-96,224.731,1931.2,2324.3,3715.6
04-Jan-96,226.623,1917.7,2331.9,3714.1
05-Jan-96,227.39,1916.6,2323.5,3704.5
08-Jan-96,225.788,1916.3,2349.7,3720.6
09-Jan-96,228.529,1910.1,2338.2,3720.6
10-Jan-96,227.295,1897.9,2329.5,3671.5
11-Jan-96,226.533,1907.6,2356.5,3654.9
12-Jan-96,226.338,1924.4,2359.1,3657.3
15-Jan-96,228.166,1952.1,2376.9,3662.7
16-Jan-96,227.694,1966,2371.3,3710.6
17-Jan-96,228.96,1960.1,2380.9,3704.2
18-Jan-96,229.16,1964.3,2398.8,3748.7
19-Jan-96,229.128,1954.4,2390.5,3748.4
22-Jan-96,230.785,1934.1,2384.5,3754.2
23-Jan-96,230.717,1946,2423.1,3735
24-Jan-96,229.069,1950.2,2443.7,3758.2
25-Jan-96,230.835,1966.7,2432.9,3734.2
26-Jan-96,230.526,1980.7,2446.1,3734.7
29-Jan-96,229.823,2003.1,2435.8,3734.6
30-Jan-96,229.437,2021,2470.1,3735.3
31-Jan-96,228.135,2024.1,2459.3,3759.3
01-Feb-96,228.425,2022.2,2452.1,3752.8
02-Feb-96,228.588,1985.6,2419,3781.3
05-Feb-96,228.974,1988.5,2428.3,3746.6
06-Feb-96,226.151,1983.3,2446.2,3747.5
07-Feb-96,228.13,1956.2,2430.2,3726.1
08-Feb-96,229.074,1960.7,2411.9,3708.4
09-Feb-96,227.672,1967.7,2428.1,3716.3
12-Feb-96,227.794,1983.3,2433.9,3726.6
13-Feb-96,228.502,1956.4,2427.1,3747.6
14-Feb-96,231.424,1964.2,2423,3745
15-Feb-96,231.76,1952.5,2429,3779.8
16-Feb-96,231.955,1939.7,2398.6,3770.9
19-Feb-96,230.776,1932.4,2382.6,3744.3
20-Feb-96,228.135,1936.9,2391.1,3714.6
21-Feb-96,226.741,1953.3,2412,3725.6
22-Feb-96,228.679,1976.9,2451.8,3740
23-Feb-96,230.295,1960.9,2442.3,3740.3
26-Feb-96,231.701,1974.5,2444.9,3704.2
27-Feb-96,230.186,1996.9,2472.5,3715.9
28-Feb-96,230.34,1990.8,2473.6,3738.2
29-Feb-96,232.7,2017.2,2501.2,3727.6
01-Mar-96,232.89,2015.3,2488,3752.7
04-Mar-96,234.419,2001.9,2479,3768.6
05-Mar-96,235.536,2005.9,2466,3777.1
06-Mar-96,235.595,2008,2480.9,3758.9
07-Mar-96,235.164,1975.5,2469.1,3758.2
08-Mar-96,235.667,1948.9,2407.8,3710.3
11-Mar-96,233.376,1932.1,2436,3674.5
12-Mar-96,230.381,1944.3,2426.4,3639.5
13-Mar-96,231.506,1962.4,2426.5,3640.3
14-Mar-96,233.398,1950.1,2458.2,3681.8
15-Mar-96,236.216,1965,2463.2,3644.8
18-Mar-96,236.048,1967.2,2493.3,3669.6
19-Mar-96,238.154,1969.8,2485.9,3693
20-Mar-96,239.565,1976.9,2504.1,3685.4
21-Mar-96,239.47,1974.4,2504.2,3698.3
22-Mar-96,239.239,2003.8,2510.3,3707
25-Mar-96,239.688,2008,2499.3,3681.9
26-Mar-96,239.361,2030.5,2525.4,3660.9
27-Mar-96,238.499,2020,2508.4,3672.4
28-Mar-96,240.101,2044.8,2485.9,3672.6
29-Mar-96,239.089,2055.6,2489.1,3699.7
01-Apr-96,241.253,2070.4,2501.2,3718.4
02-Apr-96,243.808,2064,2494.4,3728.5
03-Apr-96,243.903,2075,2495.2,3725.1
04-Apr-96,242.479,2081.7,2503.3,3755.6
09-Apr-96,243.649,2093.9,2530,3758.6
10-Apr-96,243.717,2072.5,2509.7,3767.4
11-Apr-96,247.207,2074.7,2511.8,3744.2
12-Apr-96,246.522,2080.6,2545.9,3766.8
15-Apr-96,245.905,2097.3,2538.4,3790.5
16-Apr-96,249.126,2075.1,2524.2,3825.3
17-Apr-96,248.777,2086,2535.5,3805.6
18-Apr-96,247.62,2092.5,2536.5,3820.7
19-Apr-96,246.658,2116.5,2545.9,3857.1
22-Apr-96,248.065,2112,2550.2,3852.7
23-Apr-96,250.638,2122.1,2538.3,3833
24-Apr-96,250.601,2116.4,2532.4,3817.6
25-Apr-96,251.341,2138.4,2537.2,3819.3
26-Apr-96,250.184,2130.8,2506.5,3832.8
29-Apr-96,251.055,2146.8,2505.3,3809.2
01-May-96,251.668,2136.8,2502.3,3817.9
02-May-96,252.176,2136.8,2457.5,3806
03-May-96,253.338,2115.4,2468.9,3776.4
06-May-96,251.473,2090.4,2479.5,3751.6
07-May-96,254.036,2083.7,2472.6,3723
08-May-96,253.932,2085.4,2469.4,3707.3
09-May-96,250.288,2114.8,2468.8,3728.3
10-May-96,252.144,2100.9,2496.2,3754.4
13-May-96,251.808,2122.1,2519.7,3739.2
14-May-96,252.153,2124.6,2528.8,3759.7
15-May-96,253.17,2136.9,2537.3,3776.2
17-May-96,253.633,2120.6,2550,3789.6
20-May-96,251.486,2129.7,2550,3778.2
21-May-96,253.292,2103.5,2570.8,3789.4
22-May-96,254.953,2114.5,2556.9,3764.2
23-May-96,254.713,2117.7,2560.5,3747
24-May-96,255.842,2132.9,2542.2,3752.1
28-May-96,256.06,2117.1,2558.3,3760.2
29-May-96,257.794,2108.4,2551.5,3775.7
30-May-96,257.167,2110.1,2527.3,3746.7
31-May-96,256.401,2121.1,2542.8,3747.8
03-Jun-96,258.697,2111,2532.8,3739.2
04-Jun-96,258.293,2115.4,2546.3,3755.2
05-Jun-96,258.025,2133.2,2552.5,3753.4
06-Jun-96,258.969,2102,2557.4,3760.3
07-Jun-96,259.455,2120.8,2558.8,3706.8
10-Jun-96,256.618,2137.5,2546.4,3728.8
11-Jun-96,258.797,2137.3,2568.9,3755.7
12-Jun-96,258.742,2126.2,2567.5,3769.2
13-Jun-96,258.465,2111.8,2548.8,3761.7
14-Jun-96,254.831,2113,2546.1,3753.6
17-Jun-96,253.347,2107.9,2549.3,3761.5
18-Jun-96,254.604,2100.7,2554.3,3756.4
19-Jun-96,255.911,2077.1,2539.7,3753.2
20-Jun-96,253.256,2084.2,2540.1,3727.5
21-Jun-96,251.799,2097.6,2566.4,3722.3
24-Jun-96,251.445,2118.4,2573,3710.8
25-Jun-96,251.618,2113.3,2573.7,3679.5
26-Jun-96,252.543,2112.9,2551.6,3695.5
27-Jun-96,253.887,2123.7,2561.4,3678.8
28-Jun-96,252.521,2118.8,2564,3711
01-Jul-96,254.268,2111.8,2572.3,3725.6
02-Jul-96,254.132,2114,2569,3725.7
03-Jul-96,253.868,2126.8,2577.4,3714.1
04-Jul-96,254.259,2098.8,2583.5,3760.6
05-Jul-96,255.461,2079.1,2551,3743.2
08-Jul-96,253.633,2076.6,2562.2,3741.5
09-Jul-96,251.6,2081.9,2567.4,3752.3
10-Jul-96,252.648,2073.4,2575.5,3765.8
11-Jul-96,251.631,2050.6,2544.3,3749
12-Jul-96,249.299,2029.5,2550.5,3728.3
15-Jul-96,248.223,1989.5,2469.8,3698.3
16-Jul-96,244.698,1995.1,2497.2,3632.3
17-Jul-96,239.72,2007.3,2506.2,3658.2
18-Jul-96,239.193,1992.8,2520.2,3693.4
19-Jul-96,240.232,1960.3,2482.4,3710.5
22-Jul-96,242.342,1982.2,2475.1,3681.3
23-Jul-96,238.517,1954.1,2447.8,3708.4
24-Jul-96,238.422,1974.7,2465,3668.8
25-Jul-96,232.7,1962.9,2470.3,3684.7
26-Jul-96,237.605,1961.1,2477.8,3673.3
29-Jul-96,236.511,1968.5,2457.5,3678.8
30-Jul-96,238.653,1995.9,2473.4,3668.5
31-Jul-96,238.916,2009.9,2494.5,3703.2
01-Aug-96,243.105,2023.4,2508.7,3734.4
02-Aug-96,245.074,2013.2,2520.9,3770.6
05-Aug-96,249.784,1999.3,2522.5,3788.3
06-Aug-96,249.635,1996.7,2531.9,3788.4
07-Aug-96,248.577,1997.4,2538.2,3788.4
08-Aug-96,251.141,1985.4,2525.6,3811.1
09-Aug-96,249.671,1978.2,2528.2,3811.4
12-Aug-96,249.344,1980.6,2539.4,3810.7
13-Aug-96,248.995,1979.5,2538.7,3803.3
14-Aug-96,249.254,1986.2,2546.3,3823.4
15-Aug-96,249.331,1986.2,2548.4,3830.3
16-Aug-96,251.758,1986.2,2562.8,3837.4
19-Aug-96,252.947,2019.3,2560.3,3872.9
20-Aug-96,254.504,2000.6,2543.7,3863.7
21-Aug-96,256.714,2017.8,2557.3,3883.2
22-Aug-96,253.882,2020.8,2555.2,3872.1
23-Aug-96,256.364,2020.4,2552.4,3891.1
26-Aug-96,254.449,2018,2558.8,3907.5
27-Aug-96,252.389,2002.9,2563.2,3905.7
28-Aug-96,254.304,1977.6,2560.1,3918.7
29-Aug-96,255.652,1970.6,2543.8,3885
30-Aug-96,253.642,1977,2532.9,3867.6
02-Sep-96,250.029,1971.4,2510.8,3884.4
03-Sep-96,251.84,1984.8,2532.4,3855.9
04-Sep-96,250.025,1996.2,2529.5,3872.7
05-Sep-96,251.468,2004.8,2517,3887.2
06-Sep-96,250.978,2020.3,2548.7,3893
09-Sep-96,251.119,2042.1,2570.1,3910.8
10-Sep-96,254.862,2038.1,2566.8,3916.1
11-Sep-96,255.144,2065.4,2570.3,3905.6
12-Sep-96,255.057,2080.4,2596,3932.6
13-Sep-96,256.342,2086.2,2629.9,3967.9
16-Sep-96,256.863,2080.9,2628.1,3977.2
17-Sep-96,257.825,2072.7,2625.7,3972.3
18-Sep-96,256.056,2082.3,2624.4,3955.7
19-Sep-96,255.552,2079.5,2646.1,3974.3
20-Sep-96,255.847,2067.1,2627,3964.1
23-Sep-96,256.705,2081.5,2638.5,3919.7
24-Sep-96,256.705,2103.4,2659,3910.5
25-Sep-96,255.92,2104.1,2666.6,3935.7
26-Sep-96,258.933,2107.1,2659,3933.2
27-Sep-96,259.278,2132.8,2651.9,3946.4
30-Sep-96,259.527,2123.2,2655.7,3953.7
01-Oct-96,261.814,2141.8,2676.5,3992.2
02-Oct-96,261.801,2136.1,2683.3,4015.1
03-Oct-96,264.06,2152.7,2683.3,4000
04-Oct-96,263.915,2151.6,2702.6,4024.8
07-Oct-96,265.431,2161.5,2691.2,4031.5
08-Oct-96,266.579,2146.7,2703,4035.6
09-Oct-96,267.346,2135.6,2680.8,4009.3
10-Oct-96,266.751,2147.1,2686,3994.7
11-Oct-96,265.177,2143.6,2693.9,4028.1
14-Oct-96,266.461,2168.3,2728.5,4038.7
15-Oct-96,267.237,2158.5,2714.9,4050.8
16-Oct-96,268.843,2165.3,2716.3,4024.4
17-Oct-96,267.949,2185.2,2734.8,4042.1
18-Oct-96,267.614,2180.2,2729,4053.1
21-Oct-96,269.696,2175.6,2719,4073.1
22-Oct-96,268.834,2148.9,2699.5,4057.2
23-Oct-96,269.143,2151.6,2678.4,4028.4
24-Oct-96,264.814,2162.4,2674.2,3999.4
25-Oct-96,265.535,2150.4,2703.8,4022.4
28-Oct-96,267.813,2125.7,2673.6,4025.3
29-Oct-96,268.253,2124.8,2678.7,3993.5
30-Oct-96,263.988,2140.5,2659.3,3963.9
31-Oct-96,261.873,2142.2,2683.3,3979.1
01-Nov-96,261.841,2142.2,2671.9,3948.5
04-Nov-96,263.788,2187.3,2691.3,3928.1
05-Nov-96,263.793,2213.4,2729.2,3921.1
06-Nov-96,265.93,2211.8,2713.2,3935.7
07-Nov-96,267.473,2205.2,2739.8,3900.4
08-Nov-96,267.096,2229.1,2728.3,3910.8
11-Nov-96,268.961,2229.1,2734.3,3914.4
12-Nov-96,270.953,2217.2,2773.4,3934.3
13-Nov-96,271.176,2218.2,2777,3926.9
14-Nov-96,273.186,2240.3,2795.8,3926.1
15-Nov-96,274.497,2228.8,2763.8,3958.2
18-Nov-96,276.299,2240.1,2764.1,3962.1
19-Nov-96,276.825,2233.4,2774.5,3978.1
20-Nov-96,276.562,2233.6,2772.3,3962.8
21-Nov-96,275.26,2255.5,2763.7,3953.8
22-Nov-96,276.009,2277.1,2799.2,4018.7
25-Nov-96,279.289,2275.1,2810.6,4054.6
26-Nov-96,282.829,2270.8,2797,4068.4
27-Nov-96,284.567,2290.3,2817.5,4049.2
28-Nov-96,280.619,2315.7,2845.5,4050.2
29-Nov-96,283.265,2318.6,2858.6,4058
02-Dec-96,286.364,2349.1,2887,4038.5
03-Dec-96,284.63,2308.7,2866.1,4061.5
04-Dec-96,288.773,2292.5,2909.9,4045.2
05-Dec-96,286.25,2240.7,2792,4051.2
06-Dec-96,285.175,2255.8,2857.2,3963
09-Dec-96,279.648,2251.4,2891,4011.6
10-Dec-96,283.115,2213.3,2841.1,4035.7
11-Dec-96,282.402,2212.1,2847.1,3982.5
12-Dec-96,277.061,2203.4,2799.7,3990.7
13-Dec-96,277.447,2222.6,2855.8,3972.4
16-Dec-96,275.287,2193.7,2815.1,3993.8
17-Dec-96,279.584,2218.9,2820.8,3979.6
18-Dec-96,278.141,2248.7,2807.8,4018.2
19-Dec-96,280.633,2278.5,2854.5,4051.3
20-Dec-96,283.868,2287.4,2845.6,4077.6
23-Dec-96,287.113,2289.6,2852.9,4087.2
24-Dec-96,288.165,2303.8,2852.9,4092.5
27-Dec-96,287.675,2318.6,2888.7,4091
30-Dec-96,290.008,2315.7,2848.8,4115.7
02-Jan-97,294.16,2282.8,2859.3,4057.4
03-Jan-97,287.884,2306.7,2881.3,4089.5
06-Jan-97,293.121,2301.7,2886.1,4106.5
07-Jan-97,296.247,2331.6,2906.3,4078.8
08-Jan-97,294.183,2349.1,2892.6,4087.5
09-Jan-97,296.02,2327.5,2933.4,4087
10-Jan-97,294.995,2361.3,2955,4056.6
13-Jan-97,293.456,2402.1,2949,4107.3
14-Jan-97,296.211,2388,2988.5,4168.2
15-Jan-97,298.512,2407.8,2993.3,4158.9
16-Jan-97,300.254,2425.1,3001.4,4197.5
17-Jan-97,303.83,2406.1,3030.7,4207.7
20-Jan-97,304.07,2409.9,2976.7,4194
21-Jan-97,305.681,2442.5,3028.7,4195.5
22-Jan-97,305.087,2461.3,3033.5,4219.1
23-Jan-97,309.153,2430.3,2998.2,4219.1
24-Jan-97,310.85,2435.2,2994.5,4218.8
27-Jan-97,307.065,2482.8,2989.3,4212
28-Jan-97,309.697,2465,2999.2,4237.4
29-Jan-97,310.015,2503.1,3017.3,4207.5
30-Jan-97,305.228,2516.6,3035.2,4228.4
31-Jan-97,306.344,2508.6,3062.3,4275.8
03-Feb-97,306.612,2503.1,3067.1,4257.8
04-Feb-97,306.199,2541.3,3098,4260.9
05-Feb-97,308.672,2558.4,3104.1,4281.5
06-Feb-97,312.878,2597.5,3138,4265.9
07-Feb-97,311.848,2595.4,3184.4,4307.8
10-Feb-97,315.038,2582.1,3187.6,4307.7
11-Feb-97,315.397,2599.3,3216.1,4304.3
12-Feb-97,317.067,2628.4,3229.5,4304.3
13-Feb-97,320.18,2627.4,3248.2,4327.1
14-Feb-97,323.32,2634.5,3232.6,4341
17-Feb-97,326.492,2617.5,3276.2,4337.8
18-Feb-97,332.164,2594.8,3233.8,4332.3
19-Feb-97,333.721,2575.2,3196,4357.4
20-Feb-97,334.996,2562.8,3184.1,4356.1
21-Feb-97,332.945,2567.9,3184.2,4336.8
24-Feb-97,330.771,2607.7,3233.2,4331.1
25-Feb-97,332.854,2602.2,3237.9,4344.7
26-Feb-97,340.423,2629.4,3276.7,4329.3
27-Feb-97,340.568,2607.8,3259.6,4339.2
28-Feb-97,339.043,2600.3,3263.9,4308.3
03-Mar-97,334.646,2651.7,3320.7,4307.1
04-Mar-97,334.102,2666.2,3365,4357.7
05-Mar-97,341.88,2698.9,3417.6,4360.1
06-Mar-97,342.71,2708.3,3376.2,4399.3
07-Mar-97,346.994,2709.2,3436.1,4420.3
10-Mar-97,347.125,2686.2,3460.6,4437.4
11-Mar-97,349.394,2641.7,3415.4,4444.3
12-Mar-97,351.318,2632.1,3349.8,4422.5
13-Mar-97,344.607,2645.6,3359.3,4397.7
14-Mar-97,343.981,2588.4,3351,4424.3
17-Mar-97,347.624,2574,3291.2,4373.3
18-Mar-97,341.88,2596.8,3315.9,4356.8
19-Mar-97,336.584,2553.7,3264.7,4332.2
20-Mar-97,333.548,2587.1,3298.2,4258.1
21-Mar-97,322.326,2579.3,3321.8,4254.8
24-Mar-97,330.036,2624.3,3349.1,4214.8
25-Mar-97,324.554,2648.7,3418.1,4270.7
26-Mar-97,330.281,2656.7,3429.1,4301.5
27-Mar-97,333.258,2581.8,3295.9,4312.9
01-Apr-97,336.248,2530.3,3301.9,4248.1
02-Apr-97,321.55,2514.5,3215.2,4236.6
03-Apr-97,321.527,2518,3244.9,4214.6
04-Apr-97,318.605,2572.3,3312.9,4236.6
07-Apr-97,321.473,2579,3329.8,4271.7
08-Apr-97,330.167,2617.6,3359.5,4269.3
09-Apr-97,330.177,2608,3351.5,4292.3
10-Apr-97,335.204,2574.6,3340.1,4313.2
11-Apr-97,332.836,2566.1,3279.9,4270.7
14-Apr-97,328.711,2620.6,3327.7,4251.7
15-Apr-97,325.003,2621,3353.5,4286.8
16-Apr-97,334.152,2615.2,3383.3,4294.6
17-Apr-97,331.07,2547.6,3344.4,4298.9
18-Apr-97,335.631,2522.7,3347.6,4310.5
21-Apr-97,336.611,2514.7,3340.3,4328.7
22-Apr-97,338.031,2533.6,3396,4346.1
23-Apr-97,339.742,2539.8,3397.4,4387.7
24-Apr-97,344.394,2536.3,3374.1,4388.5
25-Apr-97,346.308,2550.3,3363.1,4369.7
28-Apr-97,341.526,2602.9,3383.2,4389.7
29-Apr-97,340.228,2639.5,3438.1,4433.2
01-May-97,346.39,2655.3,3460.4,4436
02-May-97,350.656,2672.8,3528.8,4455.6
05-May-97,350.125,2651.9,3568.3,4519.3
06-May-97,353.755,2643.3,3552,4537.5
07-May-97,354.749,2633.9,3562.4,4580.4
09-May-97,352.131,2693.1,3575.4,4630.9
12-May-97,354.318,2719.6,3575.4,4669.6
13-May-97,357.617,2774.6,3595.2,4691
14-May-97,356.686,2776,3573.7,4686.9
15-May-97,361.601,2784.3,3562.1,4681.2
16-May-97,360.766,2751.1,3604.6,4693.9
20-May-97,360.439,2786.4,3543.4,4645.2
21-May-97,357.331,2741.7,3596.1,4607.5
22-May-97,364.809,2762.9,3579.4,4642
23-May-97,363.407,2654.7,3602.2,4651.8
26-May-97,364.823,2680.3,3657.9,4661.8
27-May-97,368.557,2583.2,3674.4,4681.6
28-May-97,365.808,2579.2,3636.4,4677.5
29-May-97,365.272,2583.9,3562.7,4672.3
30-May-97,365.122,2601.5,3596.4,4621.3
02-Jun-97,358.928,2624.5,3655.6,4562.8
03-Jun-97,366.42,2635.4,3651.6,4557.8
04-Jun-97,368.467,2690.9,3684.6,4557.1
05-Jun-97,370.795,2719.3,3700.5,4576.2
06-Jun-97,372.415,2686.2,3668.6,4645
09-Jun-97,374.112,2664.2,3671.2,4686.7
10-Jun-97,376.335,2696.2,3671.9,4739.6
11-Jun-97,376.989,2760.3,3737.2,4724.8
12-Jun-97,375.346,2808.5,3752.4,4757.4
13-Jun-97,380.887,2795.9,3750,4783.1
16-Jun-97,383.941,2762.6,3721.2,4745.1
17-Jun-97,385.71,2751.7,3730.6,4682.2
18-Jun-97,384.422,2739.7,3777.6,4657
19-Jun-97,385.32,2757.1,3788.5,4653.7
20-Jun-97,385.32,2762.2,3748.8,4593.9
23-Jun-97,391.251,2784.8,3761.1,4575.8
24-Jun-97,390.643,2867.4,3819.5,4596.3
25-Jun-97,390.734,2893.6,3820.2,4640
26-Jun-97,395.453,2891,3809.9,4657.9
27-Jun-97,395.076,2858.3,3766.9,4640.3
30-Jun-97,394.995,2944,3834.8,4604.6
01-Jul-97,390.956,2909.5,3867.5,4728.3
02-Jul-97,395.385,2937,3939.7,4751.4
03-Jul-97,398.884,2934.5,3946.7,4831.7
04-Jul-97,407.088,2947.7,4003.4,4812.8
07-Jul-97,411.667,2929.8,4030.1,4810.7
08-Jul-97,416.958,2950.6,4027,4758.5
09-Jul-97,416.59,2950.6,4000.7,4762.4
10-Jul-97,424.454,2929.1,4074.3,4767.8
11-Jul-97,419.617,2941.6,4142.2,4799.5
14-Jul-97,424.972,2950.7,4139.7,4857.4
15-Jul-97,430.263,2988,4223.7,4899.3
16-Jul-97,430.712,2958.6,4203.9,4964.2
17-Jul-97,438.013,2876.7,4131.9,4949
18-Jul-97,432.622,2874.1,4140,4877.2
21-Jul-97,427.368,2921.1,4297.6,4805.7
22-Jul-97,422.626,3003.5,4384.8,4846.7
23-Jul-97,435.912,2973.5,4320.5,4874.5
24-Jul-97,448.555,3025.9,4368.5,4862.9
25-Jul-97,447.089,3022.2,4400.3,4851.5
28-Jul-97,448.804,3023.6,4377.7,4862.6
29-Jul-97,450.556,3069.3,4458.7,4876.6
30-Jul-97,442.42,3075.7,4405.5,4927.3
31-Jul-97,442.578,3049.5,4337,4907.5
01-Aug-97,446.218,3049.5,4302.5,4907.5
04-Aug-97,445.042,2992.4,4325.9,4899.3
05-Aug-97,444.412,2984.1,4364.3,4895.7
06-Aug-97,444.521,3037.1,4428.1,4960.6
07-Aug-97,450.556,3056.3,4342.3,5026.2
08-Aug-97,458.76,2996.3,4333.2,5086.8
11-Aug-97,452.04,2983.4,4377.5,5031.3
12-Aug-97,441.562,2998.6,4237.1,5031.9
13-Aug-97,443.981,2924,4195.5,5075.8
14-Aug-97,424.631,2921.8,4077.6,5003.6
15-Aug-97,424.554,2870.1,4080.6,4991.3
